date,line,type,ridership
2021-01-01,Kelana Jaya LRT,Rail,1980365
2021-01-01,Ampang LRT,Rail,1824666
2021-01-01,KL Monorail,Rail,352306
2021-01-01,Kajang MRT,Rail,1510475
2021-01-01,KL Bus,Bus,3480433
2021-01-01,Penang Bus,Bus,712446
2021-01-01,Kuantan Bus,Bus,47254
2021-02-01,Kelana Jaya LRT,Rail,1824987
2021-02-01,Ampang LRT,Rail,1698744
2021-02-01,KL Monorail,Rail,312303
2021-02-01,Kajang MRT,Rail,1423721
2021-02-01,KL Bus,Bus,3146247
2021-02-01,Penang Bus,Bus,590784
2021-02-01,Kuantan Bus,Bus,41584
2021-03-01,Kelana Jaya LRT,Rail,3033861
2021-03-01,Ampang LRT,Rail,2601245
2021-03-01,KL Monorail,Rail,502882
2021-03-01,Kajang MRT,Rail,2435248
2021-03-01,KL Bus,Bus,4270849
2021-03-01,Penang Bus,Bus,822971
2021-03-01,Kuantan Bus,Bus,63370
2021-04-01,Kelana Jaya LRT,Rail,3266042
2021-04-01,Ampang LRT,Rail,2705960
2021-04-01,KL Monorail,Rail,523031
2021-04-01,Kajang MRT,Rail,2609911
2021-04-01,KL Bus,Bus,4425536
2021-04-01,Penang Bus,Bus,866399
2021-04-01,Kuantan Bus,Bus,76709
2021-05-01,Kelana Jaya LRT,Rail,1904752
2021-05-01,Ampang LRT,Rail,1799251
2021-05-01,KL Monorail,Rail,320320
2021-05-01,Kajang MRT,Rail,1524387
2021-05-01,KL Bus,Bus,3085264
2021-05-01,Penang Bus,Bus,659810
2021-05-01,Kuantan Bus,Bus,41512
2021-06-01,Kelana Jaya LRT,Rail,833847
2021-06-01,Ampang LRT,Rail,731375
2021-06-01,KL Monorail,Rail,125639
2021-06-01,Kajang MRT,Rail,580487
2021-06-01,KL Bus,Bus,1500397
2021-06-01,Penang Bus,Bus,326434
2021-06-01,Kuantan Bus,Bus,16220
2021-07-01,Kelana Jaya LRT,Rail,897012
2021-07-01,Ampang LRT,Rail,824844
2021-07-01,KL Monorail,Rail,137369
2021-07-01,Kajang MRT,Rail,614041
2021-07-01,KL Bus,Bus,1509935
2021-07-01,Penang Bus,Bus,435202
2021-07-01,Kuantan Bus,Bus,16460
2021-08-01,Kelana Jaya LRT,Rail,1093605
2021-08-01,Ampang LRT,Rail,1061950
2021-08-01,KL Monorail,Rail,179144
2021-08-01,Kajang MRT,Rail,758049
2021-08-01,KL Bus,Bus,1923302
2021-08-01,Penang Bus,Bus,472758
2021-08-01,Kuantan Bus,Bus,22681
2021-09-01,Kelana Jaya LRT,Rail,1634423
2021-09-01,Ampang LRT,Rail,1557367
2021-09-01,KL Monorail,Rail,274935
2021-09-01,Kajang MRT,Rail,1294304
2021-09-01,KL Bus,Bus,2762507
2021-09-01,Penang Bus,Bus,512799
2021-09-01,Kuantan Bus,Bus,32682
2021-10-01,Kelana Jaya LRT,Rail,2355921
2021-10-01,Ampang LRT,Rail,2034527
2021-10-01,KL Monorail,Rail,407268
2021-10-01,Kajang MRT,Rail,1870652
2021-10-01,KL Bus,Bus,3376253
2021-10-01,Penang Bus,Bus,659440
2021-10-01,Kuantan Bus,Bus,45256
2021-11-01,Kelana Jaya LRT,Rail,2962250
2021-11-01,Ampang LRT,Rail,2392406
2021-11-01,KL Monorail,Rail,501210
2021-11-01,Kajang MRT,Rail,2278009
2021-11-01,KL Bus,Bus,3016673
2021-11-01,Penang Bus,Bus,719972
2021-11-01,Kuantan Bus,Bus,58617
2021-12-01,Kelana Jaya LRT,Rail,3336549
2021-12-01,Ampang LRT,Rail,2706638
2021-12-01,KL Monorail,Rail,589922
2021-12-01,Kajang MRT,Rail,2673726
2021-12-01,KL Bus,Bus,3185245
2021-12-01,Penang Bus,Bus,785842
2021-12-01,Kuantan Bus,Bus,52785
2022-01-01,Kelana Jaya LRT,Rail,3470403
2022-01-01,Ampang LRT,Rail,2828567
2022-01-01,KL Monorail,Rail,576678
2022-01-01,Kajang MRT,Rail,2737126
2022-01-01,KL Bus,Bus,3380633
2022-01-01,Penang Bus,Bus,833600
2022-01-01,Kuantan Bus,Bus,62940
2022-02-01,Kelana Jaya LRT,Rail,2642564
2022-02-01,Ampang LRT,Rail,2171266
2022-02-01,KL Monorail,Rail,463079
2022-02-01,Kajang MRT,Rail,2000682
2022-02-01,KL Bus,Bus,2789683
2022-02-01,Penang Bus,Bus,708432
2022-02-01,Kuantan Bus,Bus,49309
2022-03-01,Kelana Jaya LRT,Rail,3328621
2022-03-01,Ampang LRT,Rail,2693615
